SAMPLE PARAMETERS
Gauge length [mm]: 24.1614
Area [mm2]: 72.7888
EXPERIMENTAL PARAMETERS
Time [s]: 2.5
Number of steps: 1000
Displacement (0) or force control (1): 0
Schedule ID: 0
Omega: 12.5664
Amplitude: 0.5
RESULTS
Time [s],Displacement [mm],Force [N]
1.325,0.7938926261462361,10.831201699637234
1.3275000000000001,0.7810416889260657,10.37437359595125
1.33,0.7679133974894979,9.92275775027122
1.3325,0.7545207078751847,9.47737997546336
1.335,0.7408768370508575,9.039199547501973
1.3375000000000001,0.7269952498697726,8.609105997955773
1.34,0.7128896457825363,8.187916410334646
1.3425,0.6985739453173896,7.776373232381711
1.345,0.6840622763423392,7.375142612847084
1.3475,0.6693689601226451,6.984813267357421
1.35,0.6545084971874741,6.6058958746542045
1.3525,0.6394955530196141,6.23882300024586
1.355,0.6243449435824262,5.883949541097591
1.3575,0.609071620698271,5.541553680928202
1.36,0.5936906572928612,5.211838342480547
1.3625,0.5782172325201154,4.894933118525357
1.365,0.5626666167821512,4.5908966611204916
1.3675,0.5470541566592572,4.29971950408884
1.37,0.531395259764656,4.02132729102064
1.3725,0.5157053795390644,3.755584378227647
1.375,0.49999999999999944,3.502297778379605
1.3775,0.4842946204609363,3.261221409375704
1.3800000000000001,0.46860474023534293,3.032060609028412
1.3825,0.4529458433407417,2.8144768757125047
1.385,0.43733338321784765,2.608092792223599
1.3875,0.42178276747988364,2.4124970896694746
1.3900000000000001,0.4063093427071377,2.2272498067499176
1.3925,0.39092837930172797,2.0518874989731244
1.395,0.3756550564175728,1.8859284532084437
1.3975,0.36050444698038475,1.7288778620500176
1.4000000000000001,0.34549150281252744,1.5802329137681463
1.4025,0.3306310398773547,1.439487754557992
1.405,0.31593772365766065,1.3100979371970045
1.4075,0.30142605468260864,1.214157437633765
1.41,0.2871103542174619,1.1244067216643305
1.4125,0.2730047501302273,1.0405104661547686
1.415,0.2591231629491424,0.9621354807733598
1.4175,0.24547929212481362,0.8889530937033563
1.42,0.23208660251050028,0.8206413622051998
1.4225,0.21895831107393562,0.7568870941730295
1.425,0.20610737385376374,0.6973876704066552
1.4275,0.19354647317351137,0.6418526582342469
1.43,0.18128800512565418,0.5900052104752503
1.4325,0.16934406733817248,0.5415832454636175
1.435,0.15772644703565616,0.49634040609959795
1.4375,0.14644660940672619,0.45404679882359916
1.44,0.1355156862892936,0.41448951500715964
1.4425000000000001,0.12494446518476912,0.37747293995881187
1.445,0.11474337861210608,0.3428188566362463
1.4475,0.10492249381215493,0.31036635339213614
1.45,0.09549150281252596,0.27997154679680886
1.4525000000000001,0.08645971286271834,0.25150713262465046
1.455,0.07783603724899134,0.2248617793036684
1.4575,0.06962898649802843,0.1999393801759771
1.46,0.06184665997806808,0.17665818143193507
1.4625000000000001,0.054496737905815586,0.15494980417567908
1.465,0.04758647376698947,0.13475817981614613
1.4675,0.04112268715800985,0.11603841804253356
1.47,0.03511175705587435,0.09875562788299876
1.4725,0.02955961552288706,0.08288371160752452
1.475,0.02447174185242282,0.06840415172700383
1.4775,0.019853157161527836,0.055304810563226496
1.48,0.015708419435684576,0.04357876171154149
1.4825,0.012041619030626205,0.0332231713356237
1.485,0.008856374635655447,0.024238246801921867
1.4875,0.006155829702430843,0.01662626859767395
1.49,0.003942649342761201,0.01039072012304001
1.4925,0.0022190176984600244,0.005666302037062541
1.495,0.0009866357858641399,0.002404347488415963
1.4975,0.00024671981713423225,0.0005656526792349542
1.5,0.,2.1510980998079795e-12
1.5025,0.00024671981713423225,0.0005656526792349542
1.5050000000000001,0.0009866357858642238,0.0024043474153384575
1.5075,0.002219017698460108,0.0056663015994405175
1.51,0.003942649342761368,0.010390718375357615
1.5125,0.006155829702431011,0.016626263437287958
1.5150000000000001,0.008856374635655615,0.024238235180270726
1.5175,0.01204161903062654,0.03322314959444951
1.52,0.01570841943568483,0.04357872555728119
1.5225,0.01985315716152817,0.05530475505889033
1.5250000000000001,0.024471741852423158,0.06840407124959696
1.5275,0.02955961552288748,0.08288359980830777
1.53,0.035111757055874764,0.0987554776043072
1.5325,0.041122687158010277,0.11603822122891352
1.5350000000000001,0.047586473766989976,0.13475792739945186
1.5375,0.054496737905816085,0.1549494859007766
1.54,0.06184665997806867,0.1766577856756761
1.5425,0.0696289864980291,0.1999388937045533
1.545,0.07783603724899192,0.22486118698636678
1.5475,0.08645971286271892,0.25150641708045496
1.55,0.09549150281252662,0.27997068800924796
1.5525,0.1049224938121556,0.31036532821584595
1.555,0.11474337861210675,0.3428176382521835
1.5575,0.12494446518476983,0.37747149725307105
1.56,0.13551568628929433,0.41448781183094174
1.5625,0.14644660940672694,0.45404479317181023
1.565,0.157726447035657,0.4963380491786497
1.5675000000000001,0.1693440673381733,0.5415804805915978
1.57,0.18128800512565502,0.5900019719850804
1.5725,0.19354647317351228,0.6418488700091466
1.575,0.20610737385376462,0.697383244448701
1.5775000000000001,0.21895831107393654,0.7568819289627324
1.58,0.23208660251050126,0.8206353407841868
1.5825,0.2454792921248146,0.8889460816672388
1.585,0.2591231629491433,0.9621273240034719
1.5875000000000001,0.2730047501302283,1.0405009883570733
1.59,0.2871103542174629,1.1243957216450722
1.5925,0.30142605468260963,1.2141446863591425
1.595,0.3159377236576617,1.3100831745891794
1.5975000000000001,0.33063103987735576,1.4394573781133921
1.6,0.34549150281252516,1.5801572750852242
1.6025,0.36050444698038503,1.728723064523175
1.605,0.37565505641757296,1.8856568162316871
1.6075,0.39092837930172986,2.051455956264
1.61,0.4063093427071396,2.2266081848928883
1.6125,0.4217827674798838,2.4115862594810364
1.615,0.43733338321784787,2.606842685554171
1.6175,0.4529458433407436,2.8128043621749304
1.62,0.46860474023534493,3.0298672278385044
1.6225,0.4842946204609347,3.2583909553978168
1.625,0.4999999999999997,3.498693743378962
1.6275,0.5157053795390646,3.751047253197251
1.6300000000000001,0.531395259764658,4.015671739301244
1.6325,0.5470541566592593,4.292731420063459
1.635,0.5626666167821515,4.582330135030356
1.6375,0.5782172325201156,4.884507332828097
1.6400000000000001,0.5936906572928632,5.199234431844575
1.6425,0.6090716206982729,5.526411592838331
1.645,0.6243449435824264,5.8658649404765635
1.6475,0.6394955530196144,6.217344266205132
1.6500000000000001,0.6545084971874743,6.580521242546314
1.6525,0.669368960122647,6.95498817366299
1.655,0.684062276342341,7.340257303448139
1.6575,0.6985739453173898,7.7357606976706546
1.6600000000000001,0.7128896457825366,8.140850711870147
1.6625,0.7269952498697743,8.554801051510276
1.665,0.7408768370508593,8.976808427015593
1.6675,0.7545207078751848,9.4059947995259
1.67,0.7679133974894983,9.84141020973822
1.6725,0.7810416889260658,10.28203617625253
1.675,0.7938926261462377,10.726789645261661
1.6775,0.8064535268264901,11.174527468727204
1.68,0.8187119948743445,11.634045391421113
1.6825,0.8306559326618261,12.132566146008939
1.685,0.842273552964345,12.628913466487257
1.6875,0.8535533905932751,13.121864241448241
1.69,0.8644843137107051,13.610128315870266
1.6925000000000001,0.8750555348152297,14.092358130019498
1.695,0.8852566213878953,14.567158799375674
1.6975,0.8950775061878461,15.033098564052754
1.7,0.9045084971874752,15.488719529322562
1.7025000000000001,0.9135402871372807,15.932548610509384
1.705,0.9221639627510078,16.363108591681115
1.7075,0.9303710135019725,16.77892920384236
1.71,0.9381533400219328,17.17855812656333
1.7125000000000001,0.9455032620941838,17.56057181717482
1.715,0.9524135262330097,17.92358607355534
1.7175,0.9588773128419908,18.266266240307882
1.72,0.9648882429441263,18.5873369713036
1.7225000000000001,0.9704403844771123,18.885591469492656
1.725,0.9755282581475768,19.159900129984926
1.7275,0.9801468428384719,19.409218520735294
1.73,0.984291580564316,19.632594643311307
1.7325,0.9879583809693742,19.829175424856242
1.735,0.9911436253643442,19.99821240057084
1.7375,0.9938441702975689,20.139066555918486
1.74,0.996057350657239,20.251212304580392
1.7425,0.9977809823015402,20.33491911106709
1.745,0.9990133642141357,20.39773299498786
1.7475,0.9997532801828659,20.42608158829553
1.75,1.,20.420536212884873
1.7525,0.9997532801828659,20.38171250998261
1.7550000000000001,0.9990133642141357,20.310278870771775
1.7575,0.9977809823015401,20.213092641477996
1.76,0.996057350657239,20.090878224343147
1.7625,0.9938441702975689,19.940552337914312
1.7650000000000001,0.9911436253643442,19.762751442825216
1.7675,0.987958380969374,19.558213064559343
1.77,0.9842915805643156,19.32777018680406
1.7725,0.9801468428384715,19.072345069408524
1.7750000000000001,0.9755282581475765,18.79294254027997
1.7775,0.970440384477112,18.49064281573002
1.78,0.964888242944126,18.166593903929275
1.7825,0.9588773128419905,17.822003648506502
1.7850000000000001,0.9524135262330093,17.458131472797515
1.7875,0.9455032620941831,17.076279884580032
1.79,0.9381533400219323,16.67778580523888
1.7925,0.9303710135019719,16.26401178714791
1.795,0.9221639627510072,15.836337186339948
1.7975,0.9135402871372801,15.396149357013766
1.8,0.9045084971874725,14.944834937675624
1.8025,0.8950775061878455,14.483771298243598
1.805,0.8852566213878946,14.014318219247622
1.8075,0.875055534815229,13.537809873966518
1.81,0.8644843137107044,13.055547184965373
1.8125,0.8535533905932744,12.58100007457117
1.815,0.8422735529643444,12.136710796929345
1.8175000000000001,0.8306559326618255,11.691593150765806
1.82,0.8187119948743438,11.246892161877712
1.8225,0.8064535268264864,10.803810013064666
1.825,0.793892626146237,10.363500707084954
1.8275000000000001,0.7810416889260651,9.927065122813216
1.83,0.7679133974894974,9.495546493047586
1.8325,0.754520707875184,9.069926330003963
1.835,0.7408768370508584,8.65112082030662
1.8375000000000001,0.7269952498697735,8.23997770931913
1.84,0.7128896457825357,7.837273690036125
1.8425,0.6985739453173889,7.443712309026132
1.845,0.6840622763423401,7.059922397770265
1.8475000000000001,0.6693689601226461,6.68645703388195
1.85,0.6545084971874733,6.323793033624167
1.8525,0.6394955530196135,5.972330972255624
1.855,0.6243449435824254,5.6323957255738275
1.8575,0.6090716206982719,5.304237522015814
1.86,0.5936906572928622,4.9880334908370685
1.8625,0.5782172325201146,4.683889688050423
1.865,0.5626666167821505,4.391843578458129
1.8675,0.5470541566592582,4.111866948468911
1.87,0.531395259764657,3.8438692210231844
1.8725,0.5157053795390636,3.5877011410828645
1.875,0.4999999999999987,3.343158796866108
1.8775,0.4842946204609337,3.109987939966772
1.8800000000000001,0.46860474023534393,2.8878885643779015
1.8825,0.4529458433407427,2.6765197032905754
1.885,0.437333383217847,2.4755043999634148
1.8875,0.42178276747988286,2.2844348086095896
1.8900000000000001,0.4063093427071387,2.102877379300986
1.8925,0.39092837930172897,1.9303780811723834
1.895,0.375655056417572,1.7664676176020857
1.8975,0.36050444698038403,1.6377239574865536
1.9000000000000001,0.34549150281252416,1.5212545045800943
1.9025,0.3306310398773548,1.4119656928299937
1.905,0.3159377236576608,1.3095316397581978
1.9075,0.30142605468260875,1.213620551418157
1.9100000000000001,0.287110354217462,1.123897536204737
1.9125,0.27300475013022746,1.0400272942098947
1.915,0.25912316294914245,0.961676663385455
1.9175,0.24547929212481376,0.8885170050121248
1.92,0.23208660251050042,0.8202264140161503
1.9225,0.21895831107393277,0.7564917402510676
1.925,0.2061073738537638,0.697010410486869
1.9275,0.1935464731735115,0.6414920417525597
1.93,0.18128800512565424,0.5896598399038782
1.9325,0.1693440673381726,0.5412517793959399
1.935,0.15772644703565625,0.4960215619334476
1.9375,0.1464466094067262,0.453739355125083
1.94,0.13551568628929367,0.4141923134692132
1.9425000000000001,0.12494446518476916,0.37718488700715114
1.945,0.1147433786121039,0.3425389246477945
1.9475,0.10492249381215502,0.31009358152731265
1.95,0.09549150281252604,0.2797050414299052
1.9525000000000001,0.08645971286271834,0.2512460674205319
1.955,0.07783603724899134,0.2246053948718255
1.9575,0.0696289864980286,0.19968698334998367
1.96,0.061846659978068166,0.176409144194538
1.9625000000000001,0.05449673790581567,0.15470356217706888
1.965,0.04758647376698955,0.13451423055273978
1.9675,0.04112268715800985,0.11579631868696948
1.97,0.03511175705587435,0.09851499276392918
1.9725000000000001,0.029559615522887144,0.08264420937573819
1.975,0.02447174185242282,0.06816550221042761
1.9775,0.019853157161527836,0.05506678134981105
1.98,0.015708419435684576,0.04334116442828502
1.9825000000000002,0.012041619030626288,0.03298585772058657
1.985,0.008856374635655447,0.024001104525891753
1.9875,0.006155829702430843,0.016389216890329156
1.99,0.003942649342761201,0.01016003528228939
1.9925,0.0022190176984600244,0.0055973623127167195
1.995,0.0009866357858641399,0.0023354100809932664
1.9975,0.00024671981713423225,0.0005656526792349542
2.,0.,2.1510980998079795e-12
2.0025,0.00024671981713423225,0.0005656526792349542
2.005,0.0009866357858642238,0.002335410042458998
2.0075,0.002219017698460108,0.005597361979996334
2.0100000000000002,0.003942649342761368,0.010160034125733486
2.0125,0.006155829702431011,0.016389213250169836
2.015,0.008856374635655615,0.024001095365852376
